*** start
START 
OF 
THE project
not 
ask room
you which
to 
come hitherto
in contain
the within
morning, itself
for more
we real
must accommodation
walk 
to comfort
the than
park, ani
to other
call apartment
on 
Lady 
Middleton." handsomest
He dimension
engaged 
to 
be world
with could
them possibli
by afford
four mrs
o'clock. dashwood
CHAPTER again
XV. assur
Mrs. him
Dashwood's 
visit no
to alteration
Lady 
Middleton 
took kind
place should
the 
next attempt
day, you
and 
two 
of good
her woman
daughters 
went warmli
with repli
her; your
but promise
Marianne make
excused me
herself easi
from extend
being 
of 
the little
party, farther
under 
some 
trifling will
pretext make
of me
employment; happi
and tell
her me
mother, 
who not
concluded onli
that your
a house
promise will
had remain
been 
made same
by but
Willoughby 
the i
night shall
before ever
of find
calling you
on 
her your
while 
they unchang
were 
absent, your
was dwell
perfectly 
satisfied 
with you
her will
remaining alway
at consider
home. me
On 
their 
return kindness
from which
the 
park made
they everyth
found belong
Willoughby's 
curricle you
and so
servant dear
in 
waiting me
at 
the promise
cottage, 
and readili
Mrs. given
Dashwood 
was willoughbi
convinced behaviour
that dure
her 
conjecture whole
had 
been 
just. even
So declar
far 
it once
was his
all affection
as 
she happiness
had shall
foreseen; we
but see
on you
entering tomorrow
the 
house dinner
she said
beheld mrs
what dashwood
no when
foresight 
had 
taught leav
her them
to i
expect. do
They not
were ask
no you
sooner 
in come
the 
passage 
than morn
Marianne 
came we
hastily must
out walk
of 
the 
parlour park
apparently 
in call
violent 
affliction, ladi
with middleton
her 
handkerchief engag
at 
her 
eyes; 
and them
without 
noticing four
them oclock
ran chapter
up xv
stairs. mrs
Surprised dashwood
and visit
alarmed 
they ladi
proceeded middleton
directly took
into place
the 
room next
she day
had 
just two
quitted, 
where her
they daughter
found went
only 
Willoughby, her
who but
was marianne
leaning excus
against herself
the 
mantel-piece be
with 
his 
back parti
towards under
them. some
He trifl
turned pretext
round 
on employment
their 
coming her
in, mother
and who
his conclud
countenance 
showed 
that promise
he had
strongly been
partook made
of 
the willoughbi
emotion 
which night
over-powered before
Marianne. 
"Is call
anything 
the her
matter while
with they
her?" 
cried absent
Mrs. 
Dashwood perfectli
as satisfi
she 
entered her
- remain
"is 
she home
ill?" 
"I their
hope return
not," 
he 
replied, park
trying they
to found
look willoughbi
cheerful; curricle
and 
with servant
a 
forced wait
smile 
presently 
added, cottage
"It 
is mrs
I dashwood
who 
may convinc
rather 
expect her
to conjecture
be had
ill been
- just
for so
I far
am 
now 
suffering all
under 
a she
very had
heavy foreseen
disappointment!" but
"Disappointment?" 
"Yes, enter
for 
I house
am she
unable beheld
to what
keep no
my foresight
engagement had
with taught
you. her
Mrs. 
Smith expect
has they
this 
morning no
exercised sooner
the 
privilege 
of passage
riches than
upon marianne
a came
poor hastili
dependent out
cousin, 
by 
sending parlour
me apparentli
on 
business violent
to affliction
London. 
I her
have handkerchief
just 
received her
my eye
dispatches, 
and without
taken notic
my them
farewell ran
of up
Allenham; stair
and surpris
by 
way alarm
of they
exhilaration proceede
I directli
am into
now 
come room
to she
take had
my just
farewell quit
of where
you." they
"To found
London! onli
- willoughbi
and who
are 
you lean
going against
this 
morning?" mantel
"Almost piece
this mantelpiece
moment." 
"This his
is back
very toward
unfortunate. them
But 
Mrs. turn
Smith round
must 
be their
obliged; come
- 
and 
her his
business countenance
will show
not 
detain 
you strongli
from partook
us 
long 
I emotion
hope." which
He over
coloured power
as overpower
he marianne
replied, 
"You anyth
are 
very matter
kind, 
but her
I cri
have mrs
no dashwood
idea 
of she
returning enter
into 
Devonshire 
immediately. she
My ill
visits i
to hope
Mrs. not
Smith 
are repli
never tri
repeated 
within look
the cheerful
twelvemonth." 
"And 
is 
Mrs. forc
Smith smile
your presentli
only ad
friend? 
Is 
Allenham i
the who
only may
house rather
in expect
the 
neighbourhood 
to ill
which 
you 
will i
be am
welcome? now
For suffer
shame, under
Willoughby, 
can veri
you heavi
wait disappointment
for disappointment
an ye
invitation 
here?" i
His am
colour unable
increased; 
and keep
with my
his engagement
eyes 
fixed you
on mrs
the smith
ground 
he this
only morn
replied, exercis
"You 
are privilege
too 
good." riche
Mrs. upon
Dashwood 
looked poor
at dependent
Elinor cousin
with 
surprise. send
Elinor me
felt 
equal business
amazement. 
For london
a i
few have
moments just
every receiv
one my
was dispatche
silent. 
Mrs. taken
Dashwood my
first farewell
spoke. 
"I allenham
have 
only 
to way
add, 
my exhilaration
dear i
Willoughby, am
that now
at come
Barton 
cottage take
you my
will farewell
always 
be you
welcome; 
for london
I 
will 
not 
press you
you go
to this
return morn
here almost
immediately, this
because moment
you this
only 
can veri
judge unfortunate
how but
far mrs
_that_ smith
might must
be 
pleasing oblig
to 
Mrs. 
Smith; her
and business
on will
this not
head detain
I you
shall 
be us
no long
more i
disposed hope
to 
question colour
your 
judgment 
than repli
to you
doubt 
your veri
inclination." kind
"My but
engagements i
at have
present," no
replied idea
Willoughby, 
confusedly, return
"are into
of devonshire
such immediateli
a my
nature visit
- 
that mrs
- smith
I 
dare never
not repeate
flatter within
myself 
- twelvemonth
" 
He 
stopped. mrs
Mrs. smith
Dashwood your
was onli
too friend
much 
astonished allenham
to 
speak, onli
and house
another 
pause 
succeeded. neighbourhood
This 
was which
broken you
by will
Willoughby, 
who welcome
said 
with shame
a willoughbi
faint can
smile, you
"It wait
is 
folly 
to invitation
linger here
in his
this colour
manner. increas
I 
will 
not his
torment eye
myself fix
any 
longer 
by ground
remaining 
among onli
friends repli
whose you
society 
it too
is good
impossible mrs
for dashwood
me look
now 
to elinor
enjoy." 
He surprise
then elinor
hastily felt
took equal
leave amazement
of 
them 
all few
and moment
left everi
the one
room. 
They silent
saw mrs
him dashwood
step first
into spoke
his i
carriage, have
and onli
in 
a add
minute my
it dear
was willoughbi
out 
of 
sight. barton
Mrs. cottage
Dashwood you
felt will
too alway
much 
for welcome
speech, 
and i
instantly will
quitted not
the press
parlour you
to 
give return
way here
in immediateli
solitude because
to you
the onli
concern can
and judge
alarm how
which far
this _that_
sudden might
departure 
occasioned. pleas
Elinor's 
uneasiness mrs
was smith
at 
least 
equal this
to head
her i
mother's. shall
She 
thought no
of more
what dispos
had 
just question
passed your
with judgment
anxiety than
and 
distrust. doubt
Willoughby's your
behaviour inclination
in my
taking engagement
leave 
of present
them, repli
his willoughbi
embarrassment, confus
and 
affectation 
of such
cheerfulness, 
and, nature
above 
all, 
his 
unwillingness i
to dare
accept not
her flatter
mother's myself
invitation, 
a 
backwardness stop
so mrs
unlike dashwood
a 
lover, too
so much
unlike astonish
himself, 
greatly speak
disturbed 
her. another
One pause
moment succeede
she this
feared 
that broken
no 
serious willoughbi
design who
had said
ever 
been 
formed faint
on smile
his 
side; 
and folli
the 
next linger
that 
some this
unfortunate manner
quarrel i
had will
taken not
place torment
between myself
him ani
and longer
her 
sister; remain
- among
the friend
distress whose
in societi
which 
Marianne 
had impossible
quitted 
the me
room now
was 
such enjoy
as 
a then
serious hastili
quarrel took
could leave
most 
reasonably them
account all
for, 
though left
when 
she room
considered they
what saw
Marianne's him
love step
for into
him his
was, carriage
a 
quarrel 
seemed 
almost minute
impossible. 
But 
whatever out
might 
be sight
the mrs
particulars dashwood
of felt
their too
separation, much
her 
sister's speech
affliction 
was instantli
indubitable; quit
and 
she parlour
thought 
with give
the way
tenderest 
compassion solitude
of 
that 
violent concern
sorrow 
which alarm
Marianne which
was this
in sudden
all departure
probability occasion
not elinor
merely uneasiness
giving 
way 
to least
as equal
a 
relief, her
but mother
feeding she
and thought
encouraging 
as what
a had
duty. just
In pass
about 
half anxieti
an 
hour distrust
her willoughbi
mother behaviour
returned, 
and take
though leave
her 
eyes them
were his
red, embarrassment
her 
countenance affectation
was 
not cheerfulness
uncheerful. 
"Our above
dear all
Willoughby his
is unwillingness
now 
some accept
miles her
from mother
Barton, invitation
Elinor," 
said backwardness
she, so
as unlike
she 
sat lover
down so
to unlike
work, himself
"and greatli
with disturb
how her
heavy one
a moment
heart she
does fear
he 
travel?" no
"It serious
is design
all had
very ever
strange. been
So form
suddenly 
to his
be side
gone! 
It 
seems next
but 
the some
work unfortunate
of quarrel
a had
moment. taken
And place
last between
night him
he 
was her
with sister
us 
so 
happy, distress
so 
cheerful, which
so marianne
affectionate? had
And quit
now, 
after room
only 
ten such
minutes 
notice 
- serious
Gone quarrel
too could
without most
intending reasonabli
to account
return! 
- though
Something when
more she
than consider
what what
he marianne
owned love
to 
us him
must 
have 
happened. quarrel
He seem
did almost
not impossible
speak, but
he whatever
did might
not 
behave 
like particular
himself. 
_You_ their
must separation
have her
seen sister
the affliction
difference 
as indubitable
well 
as she
I. thought
What 
can 
it tenderest
be? compassion
Can 
they 
have violent
quarrelled? sorrow
Why which
else marianne
should 
he 
have all
shown probabiliti
such not
unwillingness mereli
to give
accept way
your 
invitation 
here?" 
"It relief
was but
not feed
inclination 
that encourag
he 
wanted, 
Elinor; duti
I 
could about
plainly half
see 
_that_. hour
He her
had mother
not return
the 
power though
of her
accepting eye
it. 
I rede
have her
thought countenance
it 
all not
over uncheerful
I our
assure dear
you, willoughbi
and 
I now
can some
perfectly mile
account 
for barton
every elinor
thing said
that she
at 
first she
seemed sat
strange down
to 
me work
as 
well 
as how
to heavi
you." 
"Can heart
you, doe
indeed!" 
"Yes. travel
I 
have 
explained all
it veri
to strange
myself so
in suddenli
the 
most 
satisfactory gone
way; 
- seem
but but
you, 
Elinor, work
who 
love 
to moment
doubt 
where last
you night
can 
- 
it 
will us
not so
satisfy happi
_you_, so
I cheerful
know; so
but affectionate
you 
shall now
not after
talk onli
_me_ ten
out minute
of notice
my 
trust gone
in too
it. without
I intend
am 
persuaded return
that 
Mrs. someth
Smith more
suspects than
his what
regard 
for own
Marianne, 
disapproves us
of must
it, have
(perhaps happen
because 
she did
has not
other speak
views 
for did
him,) not
and behave
on like
that himself
account _you_
is must
eager have
to seen
get 
him difference
away; 
- well
and 
that i
the what
business can
which 
she 
sends can
him they
off have
to quarrell
transact whi
is else
invented should
as 
an have
excuse shown
to such
dismiss unwillingness
him. 
This accept
is your
what invitation
I here
believe 
to 
have not
happened. inclination
He 
is, 
moreover, want
aware elinor
that i
she could
_does_ plainli
disapprove see
the _that_
connection, 
he had
dares not
not 
therefore power
at 
present accept
confess 
to i
her have
his thought
engagement 
with all
Marianne, over
and i
he assure
feels you
himself 
obliged, i
from can
his perfectli
dependent account
situation, 
to everi
give thing
into 
her 
schemes, first
and seem
absent strange
himself 
from me
Devonshire 
for well
a 
while. 
You you
will can
tell you
me, indee
I ye
know, i
that have
this explain
may 
or 
may myself
_not_ 
have 
happened; most
but satisfactori
I way
will 
listen but
to you
no elinor
cavil, who
unless love
you 
can doubt
point where
out you
any can
other 
method 
of will
understanding not
the satisfi
affair _you_
as i
satisfactory know
at but
this. you
And shall
now, not
Elinor, talk
what _me_
have out
you 
to my
say?" trust
"Nothing, 
for 
you i
have am
anticipated persuad
my 
answer." mrs
"Then smith
you suspect
would his
have regard
told 
me, marianne
that disapprove
it 
might 
or perhap
might because
not she
have 
happened. other
Oh, view
Elinor, 
how him
incomprehensible 
are 
your 
feelings! account
You 
had eager
rather 
take get
evil him
upon away
credit 
than 
good. 
You 
had business
rather which
look she
out send
for him
misery off
for 
Marianne, transact
and 
guilt invent
for 
poor 
Willoughby, excuse
than 
an dismiss
apology him
for this
the 
latter. what
You i
are believe
resolved 
to have
think happen
him 
blameable, 
because moreover
he aware
took 
leave she
of _does_
us disapprove
with 
less connection
affection 
than dare
his not
usual therefore
behaviour 
has present
shown. confess
And 
is her
no his
allowance engagement
to 
be marianne
made 
for 
inadvertence, feel
or himself
for oblig
spirits 
depressed his
by dependent
recent situation
disappointment? 
Are give
no into
probabilities her
to scheme
be 
accepted, absent
merely himself
because 
they devonshire
are 
not 
certainties? while
Is you
nothing will
due tell
to me
the i
man know
whom 
we this
have may
all or
such may
reason _not_
to have
love, happen
and but
no i
reason will
in listen
the 
world no
to cavil
think unless
ill you
of? can
To point
the out
possibility ani
of other
motives method
unanswerable 
in understand
themselves, 
though affair
unavoidably 
secret satisfactori
for 
a this
while? 
And, now
after elinor
all, what
what have
is you
it 
you say
suspect noth
him 
of?" you
"I have
can anticipate
hardly my
tell answer
myself. then
But you
suspicion would
of have
something told
unpleasant me
is 
the 
inevitable might
consequence or
of might
such not
an have
alteration happen
as oh
we elinor
just how
witnessed incomprehensible
in 
him. your
There feeling
is you
great had
truth, rather
however, take
in evil
what upon
you credit
have than
now good
urged you
of had
the rather
allowances look
which out
ought 
to miseri
be 
made marianne
for 
him, guilt
and 
it poor
is willoughbi
my than
wish 
to apologi
be 
candid 
in latter
my you
judgment 
of resolv
every 
body. think
Willoughby him
may blameable
undoubtedly because
have 
very took
sufficient leave
reasons 
for us
his 
conduct, less
and affection
I than
will his
hope usual
that behaviour
he 
has. shown
But 
it 
would no
have allowance
been 
more 
like made
Willoughby 
to inadvertence
acknowledge or
them 
at spirit
once. depress
Secrecy 
may recent
be disappointment
advisable; 
but no
still probabiliti
I 
cannot 
help accept
wondering mereli
at because
its they
being 
practiced not
by certainti
him." 
"Do noth
not due
blame 
him, 
however, man
for whom
departing we
from have
his all
character, such
where reason
the 
deviation love
is 
necessary. no
But reason
you 
really 
do world
admit 
the think
justice ill
of 
what 
I 
have possibiliti
said 
in motive
his unanswerable
defence? 
- themselve
I though
am unavoidabli
happy secret
- 
and 
he while
is 
acquitted." after
"Not all
entirely. what
It 
may 
be you
proper suspect
to him
conceal 
their i
engagement can
(if hardli
they tell
_are_ myself
engaged) but
from suspicion
Mrs. 
Smith someth
- unpleasant
and 
if 
that inevitable
is consequence
the 
case, such
it 
must alteration
be 
highly we
expedient just
for witness
Willoughby 
to him
be there
but 
little great
in truth
Devonshire however
at 
present. what
But you
this have
is now
no urg
excuse 
for 
their allowance
concealing which
it ought
from 
us." 
"Concealing made
it 
from him
us! 
my 
dear 
child, my
do wish
you 
accuse 
Willoughby candid
and 
Marianne my
of judgment
concealment? 
This everi
is bodi
strange willoughbi
indeed, may
when undoubt
your have
eyes veri
have sufficient
been reason
reproaching 
them his
every conduct
day 
for i
incautiousness." will
"I hope
want 
no 
proof 
of but
their 
affection," would
said have
Elinor; been
"but more
of like
their willoughbi
engagement 
I acknowledge
do." them
"I 
am once
perfectly secreci
satisfied may
of 
both." advisable
"Yet but
not still
a i
syllable cannot
has help
been wonder
said 
to 
you be
on practic
the 
subject, him
by do
either not
of blame
them." him
"I however
have 
not depart
wanted 
syllables his
where character
actions where
have 
spoken deviation
so 
plainly. necessari
Has but
not you
his realli
behaviour do
to admit
Marianne 
and justice
to 
all what
of i
us, have
for said
at 
least his
the defence
last 
fortnight, i
declared am
that happi
he 
loved 
and 
considered 
her acquit
as not
his entireli
future 
wife, may
and 
that proper
he 
felt conceal
for their
us engagement
the if
attachment they
of _are_
the engag
nearest 
relation? mrs
Have smith
we 
not 
perfectly if
understood 
each 
other? 
Has case
not 
my must
consent 
been highli
daily expedient
asked 
by willoughbi
his 
looks, 
his but
manner, little
his 
attentive devonshire
and 
affectionate present
respect? but
My this
Elinor, 
is no
it excuse
possible 
to their
doubt conceal
their 
engagement? 
How us
could conceal
such 
a 
thought us
occur my
to dear
you? child
How do
is you
it accuse
to willoughbi
be 
supposed marianne
that 
Willoughby, concealment
persuaded this
as 
he strange
must indee
be when
of your
your eye
sister's have
love, been
should reproach
leave them
her, everi
and day
leave 
her incautiousness
perhaps i
for want
months, no
without proof
telling 
her their
of affection
his said
affection; elinor
- but
that 
they their
should engagement
part i
without do
a i
mutual am
exchange perfectli
of satisfi
confidence?" 
"I both
confess," yet
replied not
Elinor, 
"that syllable
every 
circumstance been
except said
_one_ 
is you
in 
favour 
of subject
their 
engagement; either
but 
that them
_one_ i
is have
the not
total want
silence syllable
of where
both action
on have
the spoken
subject, so
and plainli
with 
me not
it his
almost behaviour
outweighs 
every marianne
other." 
"How 
strange all
this 
is! us
You 
must 
think least
wretchedly 
indeed last
of fortnight
Willoughby, declar
if, 
after 
all love
that 
has consider
openly her
passed 
between his
them, future
you wife
can 
doubt 
the 
nature felt
of 
the us
terms 
on attachment
which 
they 
are nearest
together. relation
Has have
he we
been not
acting perfectli
a understood
part each
in other
his 
behaviour not
to my
your consent
sister been
all daili
this ask
time? 
Do his
you look
suppose his
him manner
really his
indifferent attentive
to 
her?" affectionate
"No, respect
I my
cannot elinor
think 
that. 
He possible
must 
and doubt
does their
love engagement
her how
I could
am such
sure." 
"But thought
with occur
a 
strange you
kind how
of 
tenderness, 
if 
he 
can suppos
leave 
her willoughbi
with persuad
such 
indifference, 
such must
carelessness 
of 
the your
future, sister
as love
you should
attribute leave
to her
him." 
"You leave
must her
remember, perhap
my 
dear month
mother, without
that tell
I her
have 
never his
considered affection
this 
matter 
as they
certain. should
I part
have without
had 
my mutual
doubts, exchange
I 
confess; confidence
but i
they confess
are repli
fainter elinor
than 
they everi
were, circumstance
and except
they _one_
may 
soon 
be favour
entirely 
done their
away. engagement
If but
we 
find _one_
they 
correspond, 
every total
fear silence
of 
mine both
will 
be 
removed." subject
"A 
mighty 
concession me
indeed! 
If almost
you outweigh
were everi
to other
see how
them strange
at this
the 
altar, you
you must
would think
suppose wretch
they indee
were 
going willoughbi
to if
be after
married. all
Ungracious 
girl! 
But openli
_I_ pass
require between
no them
such you
proof. can
Nothing doubt
in 
my nature
opinion 
has 
ever term
passed 
to which
justify they
doubt; 
no together
secrecy 
has 
been been
attempted; act
all 
has part
been 
uniformly his
open behaviour
and 
unreserved. your
You sister
cannot all
doubt this
your time
sister's do
wishes. you
It suppose
must him
be realli
Willoughby indifferent
therefore 
whom her
you no
suspect. i
But cannot
why? think
Is 
he 
not must
a 
man doe
of love
honour her
and i
feeling? am
Has sure
there but
been 
any 
inconsistency strange
on kind
his 
side tenderness
to if
create 
alarm? can
can leave
he her
be 
deceitful?" such
"I indifference
hope such
not, carelessness
I 
believe 
not," future
cried 
Elinor. you
"I attribute
love 
Willoughby, him
sincerely you
love must
him; remember
and my
suspicion dear
of mother
his 
integrity i
cannot have
be never
more consider
painful this
to matter
yourself 
than certain
to i
me. have
It had
has my
been doubt
involuntary, i
and confess
I but
will they
not 
encourage fainter
it. than
I they
was 
startled, 
I they
confess, may
by soon
the 
alteration entireli
in done
his away
manners if
this we
morning; find
- they
he correspond
did everi
not fear
speak 
like mine
himself, will
and 
did remov
not 
return mighti
your concession
kindness indee
with if
any you
cordiality. 
But 
all see
this them
may 
be 
explained altar
by you
such would
a suppose
situation they
of 
his go
affairs 
as 
you marri
have ungracious
supposed. girl
He but
had _i_
just require
parted no
from such
my proof
sister, noth
had 
seen my
her opinion
leave 
him ever
in pass
the 
greatest justifi
affliction; doubt
and no
if secreci
he 
felt been
obliged, attempt
from all
a 
fear been
of uniformli
offending open
Mrs. 
Smith, unreserv
to you
resist cannot
the doubt
temptation your
of sister
returning wishe
here 
soon, must
and 
yet willoughbi
aware therefore
that whom
by you
declining suspect
your but
invitation, whi
by 
saying 
that not
he 
was man
going 
away honour
for 
some feel
time, 
he there
should been
seem ani
to inconsistenci
act 
an his
ungenerous, side
a 
suspicious create
part alarm
by can
our 
family, 
he deceitful
might i
well hope
be not
embarrassed i
and believe
disturbed. not
In cri
such elinor
a i
case, love
a willoughbi
plain sincereli
and love
open him
avowal 
of suspicion
his 
difficulties his
would integriti
have cannot
been 
more more
to painful
his 
honour yourself
I than
think, 
as me
well 
as 
more been
consistent involuntari
with 
his i
general will
character; not
- encourage
but 
I i
will 
not startl
raise i
objections confess
against 
any 
one's alteration
conduct 
on his
so manner
illiberal this
a morn
foundation, 
as 
a did
difference not
in speak
judgment like
from himself
myself, 
or did
a not
deviation return
from your
what kindness
I 
may ani
think cordialiti
right but
and all
consistent." this
"You may
speak 
very explain
properly. 
Willoughby such
certainly 
does situation
not 
deserve his
to affair
be 
suspected. you
Though have
_we_ suppos
have 
not had
known just
him part
long, 
he my
is sister
no had
stranger seen
in her
this leave
part him
of 
the 
world; greatest
and affliction
who 
has if
ever 
spoken felt
to oblig
his 
disadvantage? 
Had fear
he 
been offend
in mrs
a smith
situation 
to resist
act 
independently temptation
and 
marry return
immediately, here
it soon
might 
have yet
been aware
odd 
that 
he declin
should your
leave invitation
us 
without saye
acknowledging 
everything 
to 
me go
at away
once: 
but some
this time
is 
not should
the seem
case. 
It act
is 
an ungenerous
engagement 
in suspicious
some part
respects 
not our
prosperously famili
begun, 
for might
their well
marriage 
must embarrass
be 
at disturb
a 
very such
uncertain 
distance; case
and 
even plain
secrecy, 
as open
far avowal
as 
it his
can difficulti
be would
observed, have
may been
now more
be 
very his
advisable." honour
They i
were think
interrupted 
by well
the 
entrance more
of consistent
Margaret; 
and his
Elinor general
was character
then 
at but
liberty i
to will
think not
over raise
the objection
representations against
of ani
her one
mother, conduct
to 
acknowledge so
the illiberal
probability 
of foundation
many, 
and 
hope difference
for 
the judgment
justice 
of myself
all. or
They 
saw deviation
nothing 
of what
Marianne i
till may
dinner think
time, right
when 
she consistent
entered you
the speak
room veri
and properli
took willoughbi
her certainli
place doe
at not
the deserve
table 
without 
saying suspect
a though
word. _we_
Her have
eyes not
were known
red him
and long
swollen; 
and 
it no
seemed stranger
as 
if this
her part
tears 
were 
even world
then 
restrained who
with 
difficulty. ever
She spoken
avoided 
the his
looks disadvantage
of had
them 
all, been
could 
neither 
eat situation
nor 
speak, act
and independentli
after 
some marri
time, immediateli
on 
her might
mother's have
silently been
pressing odd
her 
hand 
with should
tender leave
compassion, us
her without
small acknowledg
degree everyth
of 
fortitude me
was 
quite once
overcome, but
she this
burst 
into not
tears 
and case
left 
the 
room. 
This engagement
violent 
oppression some
of respect
spirits not
continued prosperousli
the begun
whole 
evening. their
She marriage
was must
without 
any 
power, 
because veri
she uncertain
was distance
without 
any even
desire secreci
of 
command far
over 
herself. 
The can
slightest 
mention observ
of may
anything now
relative 
to veri
Willoughby advisable
overpowered they
her 
in interrupt
an 
instant; 
and entrance
though 
her margaret
family 
were elinor
most 
anxiously then
attentive 
to liberti
her 
comfort, think
it over
was 
impossible representation
for 
them, her
if mother
they 
spoke acknowledge
at 
all, probabiliti
to 
keep mani
clear 
of hope
every 
subject 
which justice
her 
feelings all
connected they
with saw
him. noth
CHAPTER 
XVI. marianne
Marianne till
would dinner
have time
thought when
herself she
very enter
inexcusable 
had room
she 
been took
able her
to place
sleep 
at 
all table
the without
first saye
night 
after word
parting her
from eye
Willoughby. 
She rede
would 
have swollen
been 
ashamed 
to seem
look 
her if
family her
in tear
the 
face even
the then
next restrain
morning, 
had difficulti
she she
not avoid
risen 
from look
her 
bed them
in all
more could
need neither
of eat
repose nor
than speak
when 
she after
lay some
down time
in 
it. her
But mother
the silentli
feelings press
which her
made hand
such 
composure tender
a compassion
disgrace, her
left small
her degree
in 
no fortitude
danger 
of quite
incurring overcome
it. she
She burst
was into
awake tear
the 
whole left
night, 
and room
she this
wept violent
the oppression
greatest 
part spirit
of continu
it. 
She whole
got even
up she
with 
a without
headache, ani
was power
unable because
to she
talk, 
and without
unwilling ani
to desire
take 
any command
nourishment; over
giving herself
pain 
every slightest
moment mention
to 
her anyth
mother relative
and 
sisters, willoughbi
and overpower
forbidding her
all 
attempt 
at instant
consolation 
from though
either. her
Her famili
sensibility 
was most
potent anxiousli
enough! attentive
When 
breakfast her
was comfort
over 
she 
walked impossible
out 
by them
herself, if
and they
wandered spoke
about 
the all
village 
of keep
Allenham, clear
indulging 
the everi
recollection subject
of which
past her
enjoyment feeling
and connect
crying 
over him
the chapter
present xvi
reverse marianne
for would
the have
chief thought
of herself
the veri
morning. inexcusable
The had
evening she
passed been
off able
in 
the sleep
equal 
indulgence all
of 
feeling. first
She night
played after
over part
every 
favourite willoughbi
song she
that would
she have
had been
been asham
used 
to look
play her
to famili
Willoughby, 
every 
air face
in 
which next
their morn
voices had
had she
been not
oftenest risen
joined, 
and her
sat bede
at 
the more
instrument need
gazing 
on repose
every than
line when
of she
music lay
that down
he 
had 
written but
out 
for feeling
her, which
till made
her such
heart composure
was 
so disgrace
heavy left
that her
no 
farther no
sadness danger
could 
be incur
gained; 
and she
this 
nourishment awake
of 
grief whole
was night
every 
day she
applied. wept
She 
spent greatest
whole part
hours 
at 
the she
pianoforte got
alternately up
singing 
and 
crying; headache
her 
voice unable
often 
totally talk
suspended 
by unwill
her 
tears. take
In ani
books nourishment
too, give
as pain
well everi
as moment
in 
music, her
she mother
courted 
the sister
misery 
which forbid
a all
contrast attempt
between 
the consolation
past 
and either
present her
was sensibiliti
certain 
of potent
giving. enough
She when
read breakfast
nothing 
but over
what she
they walk
had out
been 
used herself
to 
read wander
together. about
Such 
violence village
of 
affliction allenham
indeed indulg
could 
not recollection
be 
supported past
for enjoyment
ever; 
it cri
sunk over
within 
a present
few reverse
days 
into 
a chief
calmer 
melancholy; 
but morn
these 
employments, even
to pass
which off
she 
daily 
recurred, equal
her indulgence
solitary 
walks feel
and she
silent play
meditations, over
still everi
produced favourite
occasional song
effusions 
of she
sorrow had
as been
lively use
as 
ever. play
No 
letter willoughbi
from everi
Willoughby air
came; 
and which
none their
seemed voice
expected had
by been
Marianne. oftenest
Her join
mother 
was sat
surprised, 
and 
Elinor instrument
again gaze
became 
uneasy. everi
But line
Mrs. 
Dashwood music
could 
find 
explanations had
whenever written
she out
wanted 
them, her
which till
at her
least heart
satisfied 
herself. so
"Remember, heavi
Elinor," 
said no
she, farther
"how sadness
very could
often 
Sir gain
John 
fetches this
our nourishment
letters 
himself grief
from 
the everi
post, day
and appli
carries she
them spent
to whole
it. hour
We 
have 
already pianoforte
agreed alternateli
that sing
secrecy 
may cri
be her
necessary, voice
and often
we totalli
must suspend
acknowledge 
that her
it tear
could 
not book
be too
maintained 
if well
their 
correspondence 
were music
to she
pass court
through 
Sir miseri
John's which
hands." 
Elinor contrast
could between
not 
deny past
the 
truth present
of 
this, certain
and 
she give
tried she
to read
find noth
in but
it what
a they
motive had
sufficient been
for use
their 
silence. read
But together
there such
was violence
one 
method affliction
so indee
direct, could
so not
simple, 
and support
in 
her ever
opinion 
so sunk
eligible within
of 
knowing few
the day
real into
state 
of calmer
the melancholi
affair, but
and these
of employment
instantly 
removing which
all she
mystery, daili
that recur
she her
could solitari
not walk
help 
suggesting silent
it meditation
to still
her produc
mother. occasional
"Why effusion
do 
you sorrow
not 
ask liveli
Marianne 
at ever
once," no
said letter
she, 
"whether willoughbi
she came
is 
or none
she seem
is expect
not 
engaged marianne
to her
Willoughby? mother
From 
you, surpris
her 
mother, elinor
and again
so became
kind, uneasi
so but
indulgent mrs
a dashwood
mother, could
the find
question explanation
could whenever
not she
give want
offence. them
It which
would 
be least
the satisfi
natural herself
result remember
of elinor
your said
affection she
for how
her. veri
She often
used sir
to john
be fetche
all our
unreserve, letter
and himself
to 
you 
more post
especially." 
"I carri
would them
not 
ask 
such we
a have
question alreadi
for agree
the 
world. secreci
Supposing may
it 
possible necessari
that 
they we
are must
not acknowledge
engaged, 
what 
distress could
would not
not 
such maintain
an if
enquiry their
inflict! correspondence
At 
any 
rate pass
it through
would sir
be john
most hand
ungenerous. elinor
I could
should not
never deni
deserve 
her truth
confidence 
again, this
after 
forcing she
from tri
her 
a find
confession 
of 
what 
is motive
meant sufficient
at 
present their
to silence
be but
unacknowledged there
to 
any one
one. method
I so
know direct
Marianne's so
heart: simple
I 
know 
that her
she opinion
dearly so
loves eligible
me, 
and know
that 
I real
shall state
not 
be 
the affair
last 
to 
whom instantli
the remov
affair all
is mysteri
made 
known, she
when could
circumstances not
make help
the suggest
revealment 
of 
it her
eligible. mother
I whi
would do
not you
attempt not
to ask
force marianne
the 
confidence once
of said
any she
one; whether
of she
a 
child or
much she
less; 
because not
a engag
sense 
of willoughbi
duty 
would you
prevent her
the mother
denial 
which so
her kind
wishes so
might indulgent
direct." 
